,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockValue,IncomeTaxExpenseBenefit,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,StockholdersEquity,name,cityba,afs,Major Group,cluster label
10,20603000000.0,11177000000.0,3649000000.0,542000000.0,1.0,1741000000.0,311000000.0,9450000000.0,20603000000.0,2201000000.0,-2447000000.0,-982000000.0,3971000000.0,3684000000.0,2213000000.0,3678000000.0,43846000000.0,11153000000.0,texas instruments inc,dallas,1,36,0
11,155000000000.0,49372000000.0,4746000000.0,-1119000000.0,11.2062137,2772070685.0,1229000000.0,70935903674.0,155000000000.0,24836000000.0,-5962000000.0,-9451000000.0,14294000000.0,8422000000.0,9240000000.0,58166000000.0,59647000000.0,85207000000.0,intel corp,santa clara,1,36,6
12,2100656000.0,1665919000.0,1312261000.0,632882000.0,0.0,1000.0,-26369000.0,1516257000.0,2100656000.0,356593000.0,618914000.0,-126607000.0,141501000.0,71049000.0,120786000.0,63211000.0,-180137000.0,584399000.0,"enphase energy, inc.",fremont,1,36,0
13,10691000000.0,7818000000.0,2623000000.0,1028000000.0,0.01,12000000.0,202000000.0,2334270570.0,10691000000.0,2892000000.0,-219000000.0,-603000000.0,1850000000.0,710000000.0,831000000.0,671000000.0,-3348000000.0,7065000000.0,advanced micro devices inc,santa clara,1,36,0
14,1814006000.0,839344000.0,385127000.0,-57037000.0,8.355460765,35653377.88,2413000.0,1466722445.0,1814006000.0,186501000.0,-13527000.0,-16714000.0,-26796000.0,17209000.0,19103000.0,158451000.0,-109754000.0,1406731000.0,"cirrus logic, inc.",austin,1,36,0
15,1896002000.0,1161003000.0,303084000.0,100364000.0,0.0001,4000.0,3157000.0,668248000.0,1896002000.0,154882000.0,-170898000.0,441797611.7,-170443553.3,-3434680.031,-11487000.0,139362000.0,1027105000.0,1227754000.0,silicon laboratories inc.,austin,1,36,0
16,1026627000.0,378108000.0,130312000.0,-18600000.0,0.0001,8000.0,-8010000.0,592960000.0,1026627000.0,211789000.0,-35088000.0,-50922000.0,68123000.0,4535000.0,2204000.0,48104000.0,-207854000.0,433667000.0,maxlinear inc,carlsbad,1,36,0
17,967849000.0,667545000.0,297481000.0,38607000.0,0.33289356,28000.0,3268000.0,97505000.0,967849000.0,68266000.0,-38434000.0,-47929000.0,124970000.0,81679000.0,44976000.0,167079000.0,687593000.0,870344000.0,power integrations inc,san jose,1,36,0
18,1100112000.0,476335000.0,144134000.0,14693000.0,0.001,69000.0,482000.0,654319000.0,1100112000.0,87104000.0,-119714000.0,26324000.0,107602000.0,15005000.0,23674000.0,119137000.0,-818883000.0,445793000.0,"macom technology solutions holdings, inc.",lowell,1,36,0
19,7486200000.0,4521900000.0,2845000000.0,2278300000.0,0.25,41300000.0,-1600000.0,2483400000.0,7486200000.0,578300000.0,1005600000.0,-101000000.0,1373700000.0,337800000.0,339800000.0,1452200000.0,4952100000.0,5002800000.0,skyworks solutions inc,irvine,1,36,0
20,5852183000.0,3986409000.0,1426919000.0,-11609000.0,0.01,2459000.0,5022000.0,2732579000.0,5852183000.0,714896000.0,-12255000.0,-389251000.0,389897000.0,206341000.0,210363000.0,343993000.0,1709463000.0,3119604000.0,xilinx inc,san jose,1,36,0
21,796887000.0,452527000.0,221934000.0,25757000.0,0.01,1896000.0,4263000.0,177508000.0,796887000.0,119033000.0,0.0,-15346000.0,38495000.0,27669000.0,32242000.0,196993000.0,31220000.0,618252000.0,"allegro microsystems, inc.",manchester,4,36,0
22,988546000.0,497491000.0,160273000.0,-27132000.0,0.001,77000.0,5489000.0,218999000.0,988546000.0,153851000.0,-31916000.0,-59813000.0,66155000.0,37530000.0,20350000.0,125348000.0,-128188000.0,769547000.0,formfactor inc,livermore,1,36,0
23,5567779000.0,2371042000.0,724785000.0,27023000.0,0.001,290000.0,15989000.0,2984709000.0,5567779000.0,1679653000.0,-97539000.0,-321495000.0,456331000.0,125806000.0,155115000.0,2873570000.0,788567000.0,2554248000.0,"amkor technology, inc.",tempe,1,36,0
24,7248473000.0,3155476000.0,1346888000.0,359675000.0,0.001,106000.0,66836000.0,1464838000.0,7248473000.0,660923000.0,-9090000.0,470088000.0,-102229000.0,292120000.0,362725000.0,2396641000.0,3007882000.0,5783635000.0,"first solar, inc.",tempe,1,36,0
25,8594400000.0,3229900000.0,1091100000.0,11000000.0,0.01,6000000.0,45000000.0,4790000000.0,8594400000.0,1455100000.0,-516700000.0,-178000000.0,706500000.0,274000000.0,408100000.0,2457800000.0,1699500000.0,3784400000.0,on semiconductor corp,phoenix,1,36,0
26,16277800000.0,2157100000.0,277700000.0,-2300000.0,0.001,300000.0,44200000.0,6818184627.0,16277800000.0,1089100000.0,-519500000.0,-112700000.0,629900000.0,252800000.0,368800000.0,892200000.0,3533200000.0,5519900000.0,microchip technology inc,chandler,1,36,0
27,283255000.0,201414000.0,66836000.0,-28275000.0,0.0025,130000.0,823000.0,125863000.0,283255000.0,75142000.0,-2248000.0,-4451000.0,-21675000.0,-17433000.0,-27362000.0,-20662061.26,-447038000.0,157392000.0,neophotonics corp,san jose,2,36,0
28,20622000000.0,5291000000.0,2910000000.0,635000000.0,33.48854076,59000000.0,65000000.0,12953000000.0,20622000000.0,2336000000.0,-360000000.0,-370000000.0,1368000000.0,397000000.0,573000000.0,2375000000.0,-3897000000.0,7442000000.0,nxp semiconductors n.v.,,1,36,0
29,1546632000.0,1061347000.0,140462000.0,-95177000.0,0.001,92680702.41,-2799000.0,1102619000.0,1546632000.0,408230000.0,-84187000.0,7363000.0,-18353000.0,26822000.0,-2608000.0,32507000.0,-2058032000.0,443245000.0,sunpower corp,san jose,2,36,0
30,3086512000.0,2290592000.0,754199000.0,-124354000.0,0.0001,6000.0,42574000.0,380232000.0,3086512000.0,255905000.0,-35684000.0,-283643000.0,203190000.0,137927000.0,181094000.0,612420000.0,2326118000.0,2704918000.0,ipg photonics corp,oxford,1,36,0
31,2564325000.0,1488911000.0,524112000.0,-269337322.6,0.0001,5000.0,8724000.0,1069993675.0,2564325000.0,399585000.0,-21206000.0,-335998000.0,62768000.0,69237060.53,99687000.0,340319000.0,556056000.0,1177793000.0,"solaredge technologies, inc.",herziliya pituach,1,36,0
32,693552000.0,346469000.0,187734000.0,5402000.0,0.01,1363000.0,1597000.0,296237000.0,693552000.0,88572000.0,-54463000.0,-10790000.0,70704000.0,40651000.0,43965000.0,37475000.0,-345247000.0,397315000.0,lattice semiconductor corp,hillsboro,1,36,0
33,822449000.0,540520000.0,141714000.0,-111185000.0,0.0001,3000.0,737000.0,363966000.0,822449000.0,197738000.0,-30176000.0,-119898000.0,38889000.0,22865000.0,25215000.0,52374000.0,141456000.0,458483000.0,"ichor holdings, ltd.",fremont,2,36,0
34,1846700000.0,999300000.0,451400000.0,251100000.0,0.001,100000.0,6200000.0,1058000000.0,1846700000.0,355000000.0,505200000.0,-370500000.0,116700000.0,17100000.0,31900000.0,218300000.0,260000000.0,767500000.0,"ultra clean holdings, inc.",hayward,1,36,0
35,36668000.0,35000000.0,34341000.0,-3217259.371,0.001,23000.0,31000.0,1979000.0,36668000.0,1130000.0,3112000.0,-79000.0,-6634000.0,-7346000.0,-7320000.0,206000.0,-157486000.0,34689000.0,atomera inc,los gatos,4,36,0
36,318751000.0,130763000.0,64603000.0,57167000.0,0.01,391000.0,-4662000.0,223277000.0,318751000.0,66977000.0,101233000.0,-13255000.0,-30811000.0,-9790000.0,-17420000.0,179441000.0,-13573000.0,96900000.0,"skywater technology, inc",bloomington,4,36,0
37,177192000.0,141114000.0,67191000.0,37759000.0,-2.945243745,780776000.0,6000.0,46086000.0,177192000.0,30298000.0,33397000.0,-2422000.0,6729000.0,20568000.0,6394000.0,21847000.0,-602841000.0,131106000.0,emcore corp,alhambra,4,36,0
38,2249825000.0,593900000.0,228506000.0,-28848000.0,0.001,40000.0,4038000.0,1268578000.0,2249825000.0,195884000.0,-55114000.0,-155090000.0,179793000.0,33642000.0,56210000.0,357304000.0,429078000.0,981247000.0,"cmc materials, inc.",aurora,1,36,0
39,473144000.0,208224000.0,44013000.0,385000.0,0.001,27000.0,0.0,195853000.0,473144000.0,90485000.0,19845000.0,-3932000.0,-14882000.0,-23825000.0,-27687000.0,246797000.0,-112334000.0,277291000.0,"applied optoelectronics, inc.",sugar land,2,36,0
40,57824836.0,50003253.0,27359688.0,10246819.0,0.01,890138.0,32000.0,96083188.34,57824836.0,16083742.0,16327773.0,-454617.0,-5600604.0,-7995105.0,-8109827.0,1860899.0,-313643130.0,39816727.0,kopin corp,westborough,4,36,0
41,334383000.0,302557000.0,433399194.0,180013000.0,0.0001,2000.0,63000.0,30457000.0,334383000.0,23739000.0,181588000.0,-11965000.0,10390000.0,2023000.0,2074000.0,20772000.0,-64938000.0,303926000.0,sitime corp,santa clara,4,36,0
42,1992969000.0,1042478000.0,292650000.0,-25611000.0,0.666,35998000.0,12120000.0,849972000.0,1992969000.0,460205000.0,-156292000.0,-36674000.0,162064000.0,55374000.0,65357000.0,522182000.0,-2130648778.0,1082584000.0,diodes inc /del/,plano,1,36,0
43,7271859000.0,2374085000.0,1200245000.0,421282000.0,0.0001,272993210.5,12988000.0,2623465000.0,7271859000.0,703708000.0,-311379000.0,-227962000.0,341570000.0,285626000.0,297102000.0,1270727000.0,404562000.0,4648394000.0,"qorvo, inc.",greensboro,1,36,0
44,1409861000.0,1179593000.0,387999000.0,199872000.0,-0.892573443,546175000.0,7212000.0,436519000.0,1409861000.0,308260000.0,-31982000.0,54221000.0,176656000.0,113766000.0,120455000.0,66232000.0,823515000.0,973342000.0,kulicke & soffa industries inc,singapore,1,36,0
45,1152985000.0,678985000.0,204731000.0,75769000.0,0.001,109000.0,2631000.0,322397000.0,1152985000.0,81426000.0,-111536000.0,96421000.0,91052000.0,11166000.0,14099000.0,50058000.0,-426413000.0,830588000.0,rambus inc,san jose,1,36,0
46,378574000.0,287057000.0,175364000.0,73041000.0,0.0001,15000.0,-716000.0,73928000.0,378574000.0,46828000.0,78551000.0,-8469000.0,3085000.0,-7890000.0,-14793000.0,49378000.0,-152425000.0,304646000.0,"nlight, inc.",camas,1,36,0
47,557553000.0,395935000.0,271880000.0,-8060000.0,0.01,556000.0,2601000.0,134922000.0,557553000.0,83040000.0,575000.0,-9550000.0,10366000.0,-198000.0,1627000.0,94721000.0,279163000.0,422631000.0,magnachip semiconductor corp,luxembourg,2,36,0
48,84537000.0,61886000.0,44490000.0,548847.7763,0.001,24000.0,-172000.0,11563000.0,84537000.0,7039000.0,783000.0,4094000.0,-4621000.0,-4209000.0,-4361000.0,7492000.0,23657000.0,72974000.0,gsi technology inc,sunnyvale,4,36,0
49,2576794000.0,520210000.0,128960000.0,-41228000.0,0.001,112000.0,-2876000.0,1142524000.0,2576794000.0,179890000.0,-117184000.0,-6215000.0,82979000.0,-1118000.0,13254000.0,65963000.0,257905000.0,1441542000.0,xperi holding corp,san jose,1,36,0
50,2132392000.0,1123060000.0,215755000.0,4072000.0,-0.124359084,85403038.59,-3674000.0,614783000.0,2132392000.0,302507000.0,-48780000.0,-124265000.0,180663000.0,30866000.0,66483000.0,859589000.0,1332285226.0,1522540000.0,tower semiconductor ltd,migdal haemek,1,36,0
51,1372991000.0,950080000.0,220210000.0,-114739000.0,0.001,45332386.64,11750000.0,285636000.0,1372991000.0,182731000.0,-38149000.0,-252208000.0,174003000.0,100582000.0,106714000.0,332093000.0,341382000.0,1087355000.0,monolithic power systems inc,kirkland,1,36,0
52,215664000.0,90427000.0,16175000.0,-2432126.257,0.001,24000.0,289000.0,130713360.9,215664000.0,30605000.0,-4619000.0,-3685000.0,7581000.0,-1742000.0,-2188000.0,6501000.0,-137129000.0,156129000.0,dsp group inc /de/,san jose,2,36,0
53,8921246.0,2451645.0,1357633.0,1189908.0,0.0001,1834558.0,-3208048.312,15973925.0,8921246.0,3232547.0,5500000.0,-96738.0,-4213354.0,-1692939.0,-1757703.0,127706.0,-421629340.0,-7052679.0,"ascent solar technologies, inc.",thornton,4,36,0
54,15877000.0,15697000.0,10293000.0,2878000.0,0.0001,1000.0,2000.0,4244000.0,15877000.0,4178000.0,8242000.0,-36000.0,-5328000.0,-3398000.0,-2809000.0,139000.0,-207073000.0,11633000.0,"summit wireless technologies, inc.",san jose,4,36,0
55,54937000.0,52836000.0,31967000.0,19883000.0,0.0001,2000.0,649000.0,8300000.0,54937000.0,8129000.0,3000.0,10555000.0,9325000.0,4626000.0,5264000.0,625000.0,23286000.0,46637000.0,"techpoint, inc.",san jose,4,36,0
56,240665000.0,235413000.0,149672000.0,116299000.0,0.0001,8000.0,115000.0,59893000.0,240665000.0,55346000.0,178759000.0,21829000.0,-84295000.0,-55841000.0,-75963000.0,202750220.2,-105926000.0,180772000.0,"ftc solar, inc.",austin,4,36,0
57,63383000.0,33440000.0,23624000.0,-7633000.0,-0.857848564,43577806.27,107000.0,18969000.0,63383000.0,11549000.0,557000.0,-143000.0,-8047000.0,-4382000.0,-4456000.0,3900000.0,-427591000.0,44414000.0,"pixelworks, inc",san jose,4,36,0
58,30285000.0,23448000.0,22732000.0,-2236000.0,0.001,63000.0,0.0,7052000.0,30285000.0,5512000.0,12191000.0,-978000.0,-13449000.0,-17892000.0,-17886000.0,1341000.0,-168798000.0,23233000.0,resonant inc,austin,4,36,0
59,273716000.0,91509000.0,13171000.0,3098000.0,0.098595198,49348206.48,-1814000.0,308438000.0,273716000.0,27223000.0,18948000.0,-1736000.0,-14114000.0,1699000.0,14099000.0,13622000.0,-93782000.0,-14897000.0,"shoals technologies group, inc.",portland,4,36,0
60,50623000.0,24964000.0,10568000.0,1633000.0,0.001,72000.0,-3579439.08,35592000.0,50623000.0,15984000.0,9384000.0,-5699000.0,-2052000.0,-7656000.0,-4865000.0,25517000.0,-259714000.0,15031000.0,emagin corp,hopewell junction,4,36,0
61,309404000.0,164442000.0,52783000.0,-19819000.0,0.001,42000.0,893000.0,42059000.0,309404000.0,38210000.0,3222000.0,-12793000.0,-10569000.0,4385000.0,3906000.0,127241000.0,-36735000.0,199783000.0,axt inc,fremont,4,36,0
62,34617000.0,31394000.0,14219000.0,-380000.0,0.0001,2000.0,44000.0,15305000.0,34617000.0,11965000.0,-907000.0,-554000.0,1081000.0,256000.0,456000.0,1288000.0,-157378000.0,19312000.0,everspin technologies inc,chandler,4,36,0
63,25414000.0,21612000.0,13475000.0,7586000.0,0.001,8000.0,-3087043.985,1797000.0,25414000.0,1787000.0,19930000.0,-9590000.0,-2754000.0,-1205000.0,-1785000.0,96000.0,-245193000.0,23617000.0,"mosys, inc.",san jose,4,36,0
64,33340200.0,30349931.0,31981002.76,-1197450.14,0.001,8898.0,825.0,4022683.0,33340200.0,2172494.0,2562455.0,-206004.0,-3750649.0,-2892597.0,-2894682.0,362826.0,-53915203.0,29317517.0,beam global,san diego,4,36,0
65,28438696.0,25985183.0,25716977.0,20932046.25,0.001,5873.0,-3205116.286,1992171.0,28438696.0,742571.0,24505835.0,-145019.0,-1801095.0,-2110843.0,-1276244.0,58576.0,-77246654.0,26446525.0,ideal power inc.,austin,4,36,0
66,460891579.0,230511386.0,154634423.0,145264699.2,0.001,257966.0,-57847.0,92977230.0,460891579.0,87254339.0,15483993.0,143639858.0,-5607851.0,-5181393.0,9575416.417,5382196.0,-86736755.0,367914349.0,meta materials inc.,dartmouth,4,36,0
67,253498889.0,419982.0,163168.0,-61708747.52,-2.121841941,46609735.85,-6385535.445,37677356.0,253498889.0,134855.0,-27810.0,-61927324.71,-1705192.0,-10584792.0,-1330017.0,112629765.5,-14304088.0,5000003.0,live oak acquisition corp ii,memphis,4,36,0
68,30498000.0,27629000.0,10700000.0,-430000.0,0.001,29000.0,-2798174.198,1300000.0,30498000.0,1300000.0,-181000.0,368000.0,-427000.0,-119000.0,-152346.2703,2401000.0,-332329000.0,29198000.0,"rubicon technology, inc.",bensenville,4,36,0
69,20081843.0,19125234.0,16430719.0,15642434.0,0.0001,2547.0,-4588782.502,1517904.0,20081843.0,1484356.0,22203539.0,-120568.0,-6440537.0,-2400900.0,-11337684.0,715068.0,-69713330.0,18563939.0,"smartkem, inc.",manchester,4,36,0
70,5097013.0,4068411.0,4000000.0,-38770985.96,0.0001,1272.0,-3383862.771,893205.0,5097013.0,314671.0,4848648.0,-44912401.49,-1097939.0,-2210194.0,-2414053.0,925427.0,-5726594.0,4203808.0,"odyssey semiconductor technologies, inc.",ithaca,4,36,0
71,385962000.0,368845000.0,354208000.0,335510000.0,1.620056486,56365915.25,57000.0,205941000.0,385962000.0,28778000.0,358468000.0,-852000.0,-22133000.0,16964000.0,-26609000.0,2706000.0,-95407000.0,168915000.0,"indie semiconductor, inc.",aliso viejo,4,36,0
72,230384692.0,238121.0,2093.0,-790323.0,-1.907556951,51321870.81,-6222951.842,46122909.0,230384692.0,2100524.0,90000.0,-3343990.299,-880323.0,-1042594.0,-2138846.0,128970996.3,21755380.0,5000003.0,ace convergence acquisition corp.,wilmington,4,36,0
73,46657038.0,28650624.0,72067321.59,19523663.0,0.0001,908.0,-450888.0,46176680.0,46657038.0,6809560.0,30762493.0,-4351268.0,-6887562.0,-1324425.0,-5404470.0,6145398.0,796940.0,37601281.0,"isun, inc.",williston,4,36,0
74,14469000.0,10157000.0,959000.0,-1435000.0,-0.854092353,2008000.0,-6157190.653,10270000.0,14469000.0,7354000.0,-10601896.88,-1514828.906,7075685.791,-5883000.0,-2180000.0,705000.0,-228848000.0,4199000.0,on track innovations ltd,yokneam,4,36,0
75,14034000.0,9793000.0,2462000.0,-7038000.0,0.0001,4000.0,0.0,45037000.0,14034000.0,15847000.0,134000.0,-2364000.0,-4783000.0,-7052000.0,-4604000.0,1832000.0,-175455000.0,-31003000.0,"transphorm, inc.",goleta,4,36,0
76,72933000.0,72154000.0,44544000.0,37918000.0,0.001,216000.0,6600000.0,37049000.0,72933000.0,36936000.0,10935000.0,-144000.0,27127000.0,23759000.0,30009000.0,261000.0,-171127000.0,35884000.0,netlist inc,irvine,4,36,0
77,21641190000.0,3090455000.0,1480701000.0,424841000.0,0.16,61370000.0,170146000.0,8005262960.0,21641190000.0,2793342000.0,-1189966000.0,-183280000.0,1794345000.0,503311000.0,609646000.0,1173674000.0,7812859000.0,12263963000.0,analog devices inc,wilmington,1,36,0
78,3446800000.0,1478700000.0,379000000.0,-69800000.0,0.0013,100000.0,1100000.0,551755015.0,3446800000.0,448800000.0,504100000.0,-448600000.0,-125500000.0,-523900000.0,-313900000.0,1515917209.0,-1563100000.0,2116500000.0,"cree, inc.",durham,1,36,0
79,28714000.0,24248000.0,20277986.02,-3752000.0,0.001,12000.0,157000.0,19745000.0,28714000.0,18672000.0,-493000.0,-447000.0,-2812000.0,-3751000.0,-4670000.0,577000.0,-298160000.0,8969000.0,quicklogic corp,san jose,4,36,0
80,4523099000.0,3218285000.0,2291399000.0,705984000.0,0.001,269000.0,102475000.0,2107159000.0,4523099000.0,637312000.0,-187765000.0,-30511000.0,924260000.0,827261000.0,945700000.0,554339000.0,8461140667.0,2415940000.0,maxim integrated products inc,san jose,1,36,0
81,38650000000.0,25806000000.0,5628000000.0,4781000000.0,108.2164611,3000000.0,153000000.0,17503000000.0,38650000000.0,4448000000.0,4030000000.0,-3805000000.0,4556000000.0,2374000000.0,2444000000.0,2364000000.0,22995000000.0,21147000000.0,nvidia corp,santa clara,1,36,0
82,1961400000.0,1112100000.0,697800000.0,161000000.0,0.001,200000.0,63300000.0,-168136850.6,1961400000.0,705000000.0,-58800000.0,-48700000.0,243300000.0,-1900000.0,142200000.0,196000000.0,-69393700000.0,774800000.0,viavi solutions inc.,san jose,1,36,0
83,1384367000.0,709404000.0,80613000.0,4511000.0,0.001,105724000.0,3818000.0,744547000.0,1384367000.0,344767000.0,-103925000.0,-34693000.0,139066000.0,75602739.43,33854000.0,118004000.0,548842000.0,639820000.0,osi systems inc,hawthorne,1,36,0
84,9083119.0,7472235.0,6787250.0,6748948.0,0.0001,1054.0,-800.0,897555.0,9083119.0,287100.0,6844595.0,-27253.0,-68394.0,-202740.0,18786590.73,-181438980.5,-230922.0,8185564.0,"aeluma, inc.",goleta,4,36,0
85,2226800000.0,1179700000.0,836300000.0,72900000.0,0.001,100000.0,31400000.0,1259600000.0,2226800000.0,786700000.0,274100000.0,-522600000.0,319200000.0,79600000.0,147000000.0,91200000.0,781000000.0,967200000.0,synaptics inc,san jose,1,36,0
86,24479000000.0,15248000000.0,6066000000.0,708000000.0,28.29400055,-206455307.3,264000000.0,12419000000.0,24479000000.0,5125000000.0,-2957000000.0,-629000000.0,4294000000.0,1716000000.0,2013000000.0,1814000000.0,30748000000.0,12060000000.0,applied materials inc /de,santa clara,1,36,0
87,96469000.0,68825000.0,35395000.0,16167000.0,0.0,0.0,110000.0,218863000.0,96469000.0,21816000.0,73946000.0,-3322000.0,-54457000.0,-30557000.0,-51868000.0,6224000.0,-328217000.0,-122394000.0,rockley photonics holdings ltd,george town,4,36,0
88,20838632000.0,1908477000.0,559617000.0,-188850000.0,0.002,1646000.0,-25558000.0,6097435000.0,20838632000.0,1084433000.0,3265658000.0,-3662888000.0,208380000.0,-364670000.0,-266668000.0,433091000.0,1648882000.0,14741197000.0,"marvell technology, inc.",wilmington,1,36,0
89,9083119.0,7472235.0,6787250.0,5968175.939,0.0001,1054.0,-800.0,897555.0,9083119.0,287100.0,6844595.0,-27253.0,-68394.0,-217203.0,7750612.3,115888.0,-230922.0,8185564.0,"aeluma, inc.",goleta,4,36,0
90,918573000.0,407322000.0,202412000.0,42109000.0,0.002,66000.0,3935000.0,402248000.0,918573000.0,233230000.0,-18991000.0,-72539000.0,128744000.0,58116000.0,64076000.0,436977000.0,176895000.0,373205000.0,alpha & omega semiconductor ltd,sunnyvale,2,36,0
91,1100004000.0,484849000.0,262657000.0,-3667948.28,0.01,785000.0,2963000.0,366093118.6,1100004000.0,116366000.0,-75966000.0,-15867000.0,85599000.0,32933000.0,36660000.0,132140000.0,727629000.0,708417000.0,semtech corp,camarillo,1,36,0
92,10502286099.0,2904861081.0,579530904.7,46864812.07,13.64237779,81309955.47,29208922.93,9617776456.0,10585403370.0,2823953046.0,73281529.76,-239214715.2,216097660.8,125372717.1,144263039.5,1372191356.0,2499173838.0,1812078266.0,maxim integrated products inc,san jose,1,36,0
93,610058000.0,534021000.0,258402000.0,17128000.0,0.0005,16000.0,1414000.0,107004000.0,610058000.0,85536000.0,4327000.0,2911000.0,9890000.0,-17974000.0,-5960000.0,8237000.0,108309000.0,503054000.0,ambarella inc,santa clara,1,36,0
94,50000.0,68825000.0,35395000.0,16167000.0,0.0,0.0,210000.0,218863000.0,96469000.0,21816000.0,73946000.0,-3322000.0,-54457000.0,-95334000.0,-26620000.0,6224000.0,-328217000.0,-122394000.0,rockley photonics holdings ltd,george town,4,36,0
95,96469000.0,68825000.0,35395000.0,16167000.0,0.0,0.0,210000.0,218863000.0,96469000.0,21816000.0,73946000.0,-3322000.0,-54457000.0,-95334000.0,-51868000.0,6224000.0,-328217000.0,50000.0,rockley photonics holdings ltd,george town,4,36,0
96,75880000000.0,15636000000.0,11105000000.0,3487000000.0,0.001,0.0,-150000000.0,51513000000.0,75880000000.0,6501000000.0,-6441000000.0,-295000000.0,10223000000.0,4254301602.0,5938000000.0,2370000000.0,320000000.0,-9684684652.0,broadcom inc.,san jose,1,36,0
97,1281757000.0,530464000.0,283249000.0,4647000.0,0.01,608000.0,7842000.0,287296000.0,1281757000.0,167617000.0,-26355000.0,-86696000.0,113096000.0,17076000.0,61035000.0,699609000.0,302971000.0,817892000.0,photronics inc,brookfield,1,36,0
98,253498889.0,419982.0,163168.0,-242365733.0,-2.275126136,23319260.93,0.0,37677356.0,253498889.0,134855.0,-27810.0,-253000000.0,-1705192.0,-10584792.0,-1610175.0,79949536.85,-14304088.0,5000003.0,live oak acquisition corp ii,memphis,4,36,0
99,54610990.0,20703102.0,6774694.0,518668.9942,0.01,269859.0,933915.0,21033505.0,54610990.0,8448206.0,-843429.0,-3158784.0,4732024.0,-3185251.0,-1841812.0,13279867.0,-200247177.0,33577485.0,lightpath technologies inc,orlando,4,36,0
